2021-08-26 15:44:01.955250;fe_fernandes#1787;//gaal 1 2 -1 1 -1 -2 0 5 0 2 2 -2 0 7 -1 3;Enviado o print da Q4 para a pessoa
2021-08-26 15:44:10.953414;Motoboydohabbibs#6438;//gaal 1;Mandou o exemplo
2021-08-26 15:44:35.528961;fe_fernandes#1787;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:45:34.284285;Breno Max#6891;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:46:39.686426;Júlia.aur#1307;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:46:45.126652;Vinícius Albano#6381;//gaal 1 0 15 0 0 3 1 0 -2 1 2 0 1 0 5 5;[[2, 0, 1]]
2021-08-26 15:46:46.508975;Vinícius Albano#6381;//gaal 1 0 15 0 0 3 1 0 -2 1 2 0 1 0 5 5;Enviado o print da Q4 para a pessoa
2021-08-26 15:48:20.690561;vigi#7343;//gaal 1;Mandou o exemplo
2021-08-26 15:49:09.489661;Breno Max#6891;//pix;Enviou o numero do pix!
2021-08-26 15:49:25.102628;hutner700#5080;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:50:07.022033;fe_fernandes#1787;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:50:30.466535;Borges#0591;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:50:48.383228;vigi#7343;//gaal 1 0 1 0 -2 -4 -6  1  3 -2 1 1 3 3 5 9;Mandou o exemplo
2021-08-26 15:50:57.409345;juliocastro#0105;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:51:03.260961;Nanda#7377;//gaal 1;Mandou o exemplo
2021-08-26 15:51:15.182522;meri#7340;//gaal 1 -2 1 -1 1 1 1 4 -5 1 8 2 6 -1 1 1;[[-1, 1, 1]]
2021-08-26 15:51:16.663566;meri#7340;//gaal 1 -2 1 -1 1 1 1 4 -5 1 8 2 6 -1 1 1;Enviado o print da Q4 para a pessoa
2021-08-26 15:51:59.467875;sant#8822;//gaal 1 1 0 1 -2 8 0 1 2 0 6 0 0 -2 2 0;[[1, 0, 1]]
2021-08-26 15:52:00.696002;sant#8822;//gaal 1 1 0 1 -2 8 0 1 2 0 6 0 0 -2 2 0;Enviado o print da Q4 para a pessoa
2021-08-26 15:52:07.738090;ticia#2635;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:52:31.924116;fe_fernandes#1787;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:53:20.212870;hutner700#5080;//gaal 1 0 1 0 -2 -4 -6 1 3 -2 1 1 3 3 5 9;[[1, 3, -2]]
2021-08-26 15:53:21.460191;hutner700#5080;//gaal 1 0 1 0 -2 -4 -6 1 3 -2 1 1 3 3 5 9;Enviado o print da Q4 para a pessoa
2021-08-26 15:54:18.171671;meri#7340;//gaal 2 2 4 -4 14 0 8 -2 8 -2 10 4 -2 -2 5 0 4;Enviado o print da Q2 para a pessoa
2021-08-26 15:55:20.663375;BAIANO¹⁷#0035;//gaal 1 -1 -2 0 4 4 0 1 0 0 -5 -4 0 1 1 2;[[1, 1, 2]]
2021-08-26 15:55:24.754798;BAIANO¹⁷#0035;//gaal 1 -1 -2 0 4 4 0 1 0 0 -5 -4 0 1 1 2;Enviado o print da Q4 para a pessoa
2021-08-26 15:55:25.052176;rodrigo1#0781;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:56:35.735696;vigi#7343;//gaal 2 -1 -1 1 2 -2 0 4 4 0 -2 -2 0 -2 6 10 4;Enviado o print da Q2 para a pessoa
2021-08-26 15:56:40.641495;meri#7340;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:57:22.198500;Borges#0591;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:57:22.912188;fe_fernandes#1787;//gaal 4;Enviado o print da Q4 para a pessoa2021-10-11 13:51:06.198028;Dono mesmo;Ligar o bot;ligou o bot
2021-10-11 13:51:34.446674;hutner700#5080;//criar Equ-Diferenciais-C;criado categoria
2021-10-11 13:51:43.729957;Dono mesmo;Ligar o bot;ligou o bot
2021-10-11 13:55:47.691483;hutner700#5080;//criar EDC;criado categoria
2021-10-11 13:56:59.644084;hutner700#5080;//criar AAA;criado categoria
2021-10-11 14:02:32.703734;hutner700#5080;//criar Probabilidade1;criado categoria
